Month;Type;North;Center;Lisbon;Alentejo;Algarve;Açores;Madeira
2019 May;Tourism in rural and residential areas;48181;29255;3591;41611;15565;8582;16044
2019 Apr;Hotels;647839;421261;1155784;122334;733805;149261;369428
2019 Apr;Local accommodation;188652;95887;342961;36847;107276;21518;50464
2019 Apr;Tourism in rural and residential areas;44740;33143;2641;39437;14350;6321;16857
2019 Mar;Hotels;530624;322305;1046270;91801;439768;112379;371854
2019 Mar;Local accommodation;138220;70681;282966;28169;64967;12475;46936
2019 Mar;Tourism in rural and residential areas;25149;23576;1665;23499;6066;2543;12764
2019 Feb;Hotels;387822;230651;763878;68920;269443;74244;298811
2019 Feb;Local accommodation;106323;55870;216178;18712;41655;9889;39915
2019 Feb;Tourism in rural and residential areas;15545;18281;945;13359;2919;1964;9446
2019 Jan;Hotels;367357;209780;733308;63856;188429;65014;289831
2019 Jan;Local accommodation;106930;54132;196321;18403;35726;8865;38906
2019 Jan;Tourism in rural and residential areas;14333;15747;382;11049;1698;1631;7616
2018 Dec;Hotels;444442;278667;790238;77394;198748;54743;264936
2018 Dec;Local accommodation;103482;59716;189583;19055;31487;7264;40192
2018 Dec;Tourism in rural and residential areas;23425;23829;656;16411;3019;1573;8841
2018 Nov;Hotels;486761;301040;915244;85826;294687;81352;328598
2018 Nov;Local accommodation;115850;62241;223117;22590;38865;9465;37992
2018 Nov;Tourism in rural and residential areas;18798;18238;631;16854;3765;2120;10120
2018 Oct;Hotels;683164;464161;1211878;119022;784895;138130;411962
2018 Oct;Local accommodation;165848;95846;317840;32152;135482;18686;49922
2018 Oct;Tourism in rural and residential areas;43771;31355;2301;35022;15681;6132;13055
2018 Sep;Hotels;754918;551694;1238985;140411;991501;184810;473401
2018 Sep;Local accommodation;181746;116673;351004;41030;192632;31179;54712
2018 Sep;Tourism in rural and residential areas;66488;40510;3275;52618;23272;11836;14242
2018 Aug;Hotels;892209;695896;1398700;177827;1257780;227036;533394
2018 Aug;Local accommodation;226413;168724;388401;58981;275429;42723;65299
2018 Aug;Tourism in rural and residential areas;120857;78009;4965;90902;34200;19171;17568
2018 Jul;Hotels;715635;518648;1276125;136832;1132700;207541;476551
2018 Jul;Local accommodation;185506;132517;367220;44591;234517;41800;55787
2018 Jul;Tourism in rural and residential areas;80239;48339;4008;65381;27646;17851;15626
2018 Jun;Hotels;663493;444610;1168106;122407;948895;168593;467116
2018 Jun;Local accommodation;165960;89609;318634;36447;176617;28421;47852
2018 Jun;Tourism in rural and residential areas;51610;32064;2567;43786;18737;10287;14130
2018 May;Hotels;673046;438168;1206599;124343;822644;158183;437018
2018 May;Local accommodation;156675;88464;309693;33201;128319;22616;52471
2018 May;Tourism in rural and residential areas;47858;29347;2707;37458;15690;7516;15852
2018 Apr;Hotels;594487;388577;1115725;101227;631082;132905;384790
2018 Apr;Local accommodation;130800;74803;271170;25958;96087;18922;51348
2018 Apr;Tourism in rural and residential areas;33316;27017;2181;29579;11653;5263;13687
2018 Mar;Hotels;512924;330725;1044086;90688;466071;107482;365846
2018 Mar;Local accommodation;115995;64047;240679;22823;61978;13652;45985
2018 Mar;Tourism in rural and residential areas;23687;23324;1661;21480;5874;2199;12059
2018 Feb;Hotels;386873;241059;780637;69298;261158;72891;306327
2018 Feb;Local accommodation;84634;51407;180769;16766;40043;8161;38407
2018 Feb;Tourism in rural and residential areas;17061;21579;656;14737;2437;987;9929
2018 Jan;Hotels;340925;198069;727290;53813;168110;60002;295055
2018 Jan;Local accommodation;81495;45370;163227;14634;32754;7614;36325
2018 Jan;Tourism in rural and residential areas;12455;14867;428;10302;1344;1039;7753
2017 Dec;Hotels;434921;261197;773598;78523;174558;59844;262640
2017 Dec;Local accommodation;94407;60126;173595;16545;33690;;34637
2017 Dec;Tourism in rural and residential areas;24175;24053;1026;18724;2562;1181;8161
2017 Nov;Hotels;420631;271468;900105;75931;272825;72736;335318
2017 Nov;Local accommodation;97389;61467;201991;17964;38900;;37307
2017 Nov;Tourism in rural and residential areas;16653;15667;982;15251;3289;1599;10231
2017 Oct;Hotels;629816;481942;1207180;113904;780513;134485;423145
2017 Oct;Local accommodation;138045;102466;283423;26067;122124;;46223
2017 Oct;Tourism in rural and residential areas;39338;30475;2922;34320;14244;4673;12947
2017 Sep;Hotels;710574;584725;1233363;137258;1012082;184805;485917
2017 Sep;Local accommodation;162476;125913;305296;35438;177134;;54415
2017 Sep;Tourism in rural and residential areas;63692;40315;3788;51038;20842;10442;14446
2017 Aug;Hotels;834022;697722;1401204;176733;1268616;227507;547927
2017 Aug;Local accommodation;198622;175166;334435;53623;211442;;64541
2017 Aug;Tourism in rural and residential areas;115566;73802;5838;84233;33115;16980;16834
2017 Jul;Hotels;685777;537428;1278340;130432;1146985;213890;511869
2017 Jul;Local accommodation;163878;133487;307344;42349;196040;;56563
2017 Jul;Tourism in rural and residential areas;80018;47407;3962;60514;27410;14883;12877
2017 Jun;Hotels;631269;471149;1178699;115005;966272;181389;475934
2017 Jun;Local accommodation;145822;97477;276224;32369;158927;;53105
2017 Jun;Tourism in rural and residential areas;50259;31622;2950;44097;19304;9296;10925
2017 May;Hotels;618312;441480;1179022;102337;814151;161972;438378
2017 May;Local accommodation;125886;87369;248704;26257;116564;;60659
2017 May;Tourism in rural and residential areas;39031;27170;2402;33424;14124;6093;11568
2017 Apr;Hotels;605423;423420;1152194;111122;709278;138336;401413
2017 Apr;Local accommodation;125596;81805;240980;25726;86464;;58852
2017 Apr;Tourism in rural and residential areas;42584;32478;2410;39628;12929;6095;12024
2017 Mar;Hotels;433676;275249;956501;69539;412893;100311;371310
2017 Mar;Local accommodation;88291;52996;189791;15808;39260;;54290
2017 Mar;Tourism in rural and residential areas;16624;18194;960;16436;4800;1602;9474
2017 Feb;Hotels;349687;219285;718946;59725;258195;67044;304042
2017 Feb;Local accommodation;75631;45611;145636;12528;23465;;43534
2017 Feb;Tourism in rural and residential areas;14380;18868;516;14574;2390;1038;6956
2017 Jan;Hotels;314840;179215;698442;48781;165565;55034;279758
2017 Jan;Local accommodation;68118;40442;133398;9654;19678;;39733
2017 Jan;Tourism in rural and residential areas;11156;13900;477;9393;1252;1010;5102
